#原文	読み	文字種	OrigIdx
H	_	CharType.ALPHA	0
e	_	CharType.ALPHA	1
l	_	CharType.ALPHA	2
l	_	CharType.ALPHA	3
o	_	CharType.ALPHA	4
 	_	CharType.ALPHA	5
W	_	CharType.ALPHA	6
o	_	CharType.ALPHA	7
r	_	CharType.ALPHA	8
l	_	CharType.ALPHA	9
d	_	CharType.ALPHA	10
.	_	CharType.ALPHA	11

T	_	CharType.ALPHA	0
h	_	CharType.ALPHA	1
i	_	CharType.ALPHA	2
s	_	CharType.ALPHA	3
 	_	CharType.ALPHA	4
i	_	CharType.ALPHA	5
s	_	CharType.ALPHA	6
 	_	CharType.ALPHA	7
J	_	CharType.ALPHA	8
a	_	CharType.ALPHA	9
p	_	CharType.ALPHA	10
a	_	CharType.ALPHA	11
n	_	CharType.ALPHA	12
e	_	CharType.ALPHA	13
s	_	CharType.ALPHA	14
e	_	CharType.ALPHA	15
 	_	CharType.ALPHA	16
B	_	CharType.ALPHA	17
r	_	CharType.ALPHA	18
a	_	CharType.ALPHA	19
i	_	CharType.ALPHA	20
l	_	CharType.ALPHA	21
l	_	CharType.ALPHA	22
e	_	CharType.ALPHA	23
 	_	CharType.ALPHA	24
C	_	CharType.ALPHA	25
o	_	CharType.ALPHA	26
n	_	CharType.ALPHA	27
v	_	CharType.ALPHA	28
e	_	CharType.ALPHA	29
r	_	CharType.ALPHA	30
s	_	CharType.ALPHA	31
i	_	CharType.ALPHA	32
o	_	CharType.ALPHA	33
n	_	CharType.ALPHA	34
 	_	CharType.ALPHA	35
S	_	CharType.ALPHA	36
y	_	CharType.ALPHA	37
s	_	CharType.ALPHA	38
t	_	CharType.ALPHA	39
e	_	CharType.ALPHA	40
m	_	CharType.ALPHA	41
.	_	CharType.ALPHA	42

こ	コ	CharType.HIRAGANA	0
の	ノ+S	CharType.HIRAGANA	1
デ	デ	CharType.KATAKANA	2
ー	ー	CharType.KATAKANA	3
タ	タ+S	CharType.KATAKANA	4
セ	セ	CharType.KATAKANA	5
ッ	ッ	CharType.KATAKANA	6
ト	ト	CharType.KATAKANA	7
に	ニ	CharType.HIRAGANA	8
は	ワ	CharType.HIRAGANA	9
、	_	CharType.SYMBOL_PAUSE	10
完	カン	CharType.KANJI	11
全	ゼン	CharType.KANJI	12
に	ニ+S	CharType.HIRAGANA	13
オ	オ	CharType.KATAKANA	14
リ	リ	CharType.KATAKANA	15
ジ	ジ	CharType.KATAKANA	16
ナ	ナ	CharType.KATAKANA	17
ル	ル	CharType.KATAKANA	18
の	ノ+S	CharType.HIRAGANA	19
テ	テ	CharType.KATAKANA	20
キ	キ	CharType.KATAKANA	21
ス	ス	CharType.KATAKANA	22
ト	ト	CharType.KATAKANA	23
だ	ダ	CharType.HIRAGANA	24
け	ケ	CharType.HIRAGANA	25
を	ヲ+S	CharType.HIRAGANA	26
含	フク	CharType.KANJI	27
め	メ	CharType.HIRAGANA	28
て	テ+S	CharType.HIRAGANA	29
く	ク	CharType.HIRAGANA	30
だ	ダ	CharType.HIRAGANA	31
さ	サ	CharType.HIRAGANA	32
い	イ	CharType.HIRAGANA	33
。	_	CharType.SYMBOL_STOP	34
ニ	ニュ	CharType.KATAKANA	35
ュ	---	CharType.KATAKANA	36
ー	ー	CharType.KATAKANA	37
ス	ス	CharType.KATAKANA	38
や	ヤ+S	CharType.HIRAGANA	39
文	ブン	CharType.KANJI	40
学	ガク+S	CharType.KANJI	41
作	サク	CharType.KANJI	42
品	ヒン	CharType.KANJI	43
、	_	CharType.SYMBOL_PAUSE	44
そ	ソ	CharType.HIRAGANA	45
の	ノ+S	CharType.HIRAGANA	46
他	タ	CharType.KANJI	47
著	チョ	CharType.KANJI	48
作	サク	CharType.KANJI	49
権	ケン	CharType.KANJI	50
が	ガ+S	CharType.HIRAGANA	51
存	ソン	CharType.KANJI	52
在	ザイ+S	CharType.KANJI	53
す	ス	CharType.HIRAGANA	54
る	ル+S	CharType.HIRAGANA	55
テ	テ	CharType.KATAKANA	56
キ	キ	CharType.KATAKANA	57
ス	ス	CharType.KATAKANA	58
ト	ト	CharType.KATAKANA	59
を	ヲ+S	CharType.HIRAGANA	60
含	フク	CharType.KANJI	61
め	メ	CharType.HIRAGANA	62
な	ナ	CharType.HIRAGANA	63
い	イ	CharType.HIRAGANA	64
で	デ+S	CharType.HIRAGANA	65
く	ク	CharType.HIRAGANA	66
だ	ダ	CharType.HIRAGANA	67
さ	サ	CharType.HIRAGANA	68
い	イ	CharType.HIRAGANA	69
。	_	CharType.SYMBOL_STOP	70

こ	コ	CharType.HIRAGANA	0
れ	レ	CharType.HIRAGANA	1
は	ワ	CharType.HIRAGANA	2
、	_	CharType.SYMBOL_PAUSE	3
こ	コ	CharType.HIRAGANA	4
の	ノ+S	CharType.HIRAGANA	5
点	テン	CharType.KANJI	6
訳	ヤク+S	CharType.KANJI	7
エ	エ	CharType.KATAKANA	8
ン	ン	CharType.KATAKANA	9
ジ	ジ	CharType.KATAKANA	10
ン	ン	CharType.KATAKANA	11
を	ヲ+S	CharType.HIRAGANA	12
完	カン	CharType.KANJI	13
全	ゼン	CharType.KANJI	14
に	ニ+S	CharType.HIRAGANA	15
フ	フ	CharType.KATAKANA	16
リ	リ	CharType.KATAKANA	17
ー	ー	CharType.KATAKANA	18
に	ニ+S	CharType.HIRAGANA	19
す	ス	CharType.HIRAGANA	20
る	ル+S	CharType.HIRAGANA	21
た	タ	CharType.HIRAGANA	22
め	メ	CharType.HIRAGANA	23
に	ニ+S	CharType.HIRAGANA	24
必	ヒツ	CharType.KANJI	25
要	ヨー	CharType.KANJI	26
な	ナ+S	CharType.HIRAGANA	27
措	ソ	CharType.KANJI	28
置	チ	CharType.KANJI	29
で	デ	CharType.HIRAGANA	30
す	ス	CharType.HIRAGANA	31
。	_	CharType.SYMBOL_STOP	32
学	ガク	CharType.KANJI	33
習	シュー	CharType.KANJI	34
が	ガ+S	CharType.HIRAGANA	35
足	タ	CharType.KANJI	36
り	リ	CharType.HIRAGANA	37
な	ナ	CharType.HIRAGANA	38
い	イ	CharType.HIRAGANA	39
と	ト+S	CharType.HIRAGANA	40
感	カン	CharType.KANJI	41
じ	ジ	CharType.HIRAGANA	42
る	ル+S	CharType.HIRAGANA	43
と	ト	CharType.HIRAGANA	44
き	キ	CharType.HIRAGANA	45
に	ニ+S	CharType.HIRAGANA	46
追	ツイ	CharType.KANJI	47
加	カ 	CharType.KANJI	48
す	ス	CharType.HIRAGANA	49
る	ル+S	CharType.HIRAGANA	50
文	ブン	CharType.KANJI	51
章	ショー	CharType.KANJI	52
は	ワ	CharType.HIRAGANA	53
、	_	CharType.SYMBOL_PAUSE	54
著	チョ	CharType.KANJI	55
作	サク	CharType.KANJI	56
権	ケン	CharType.KANJI	57
の	ノ+S	CharType.HIRAGANA	58
な	ナ	CharType.HIRAGANA	59
い	イ+S	CharType.HIRAGANA	60
テ	テ	CharType.KATAKANA	61
キ	キ	CharType.KATAKANA	62
ス	ス	CharType.KATAKANA	63
ト	ト	CharType.KATAKANA	64
や	ヤ	CharType.HIRAGANA	65
、	_	CharType.SYMBOL_PAUSE	66
生	セイ	CharType.KANJI	67
成	セイ+S	CharType.KANJI	68
A	_	CharType.ALPHA	69
I	_	CharType.ALPHA	70
に	ニ+S	CharType.HIRAGANA	71
よ	ヨ	CharType.HIRAGANA	72
っ	ッ	CharType.HIRAGANA	73
て	テ+S	CharType.HIRAGANA	74
作	サク	CharType.KANJI	75
成	セイ+S	CharType.KANJI	76
さ	サ	CharType.HIRAGANA	77
れ	レ	CharType.HIRAGANA	78
た	タ+S	CharType.HIRAGANA	79
ラ	ラ	CharType.KATAKANA	80
ン	ン	CharType.KATAKANA	81
ダ	ダ	CharType.KATAKANA	82
ム	ム	CharType.KATAKANA	83
な	ナ+S	CharType.HIRAGANA	84
文	ブン	CharType.KANJI	85
章	ショー	CharType.KANJI	86
を	ヲ+S	CharType.HIRAGANA	87
使	シ	CharType.KANJI	88
用	ヨー+S	CharType.KANJI	89
し	シ	CharType.HIRAGANA	90
て	テ+S	CharType.HIRAGANA	91
く	ク	CharType.HIRAGANA	92
だ	ダ	CharType.HIRAGANA	93
さ	サ	CharType.HIRAGANA	94
い	イ	CharType.HIRAGANA	95
。	_	CharType.SYMBOL_STOP	96

点	テン	CharType.KANJI	0
字	ジ	CharType.KANJI	1
は	ワ+S	CharType.HIRAGANA	2
フ	フ	CharType.KATAKANA	3
ラ	ラ	CharType.KATAKANA	4
ン	ン	CharType.KATAKANA	5
ス	ス	CharType.KATAKANA	6
人	ジン	CharType.KANJI	7
の	ノ+S	CharType.HIRAGANA	8
ル	ル	CharType.KATAKANA	9
イ	イ	CharType.KATAKANA	10
・	_	CharType.SYMBOL_PAUSE	11
ブ	ブ	CharType.KATAKANA	12
ラ	ラ	CharType.KATAKANA	13
イ	イ	CharType.KATAKANA	14
ユ	ユ	CharType.KATAKANA	15
が	ガ+S	CharType.HIRAGANA	16
一	1	CharType.JAPANESE_NUMERIC	17
