#原文	読み	文字種	タグ	OrigIdx
こ	コ	HIRAGANA	S	0
の	ノ+S	HIRAGANA	S	1
デ	デ	KATAKANA	S	2
ー	ー	KATAKANA	S	3
タ	タ+S	KATAKANA	S	4
セ	セ	KATAKANA	S	5
ッ	ッ	KATAKANA	S	6
ト	ト	KATAKANA	S	7
に	ニ	HIRAGANA	S	8
は	ワ	HIRAGANA	S	9
、	、+S	SYMBOL	S	10
完	カン	KANJI	S	11
全	ゼン	KANJI	S	12
に	ニ+S	HIRAGANA	S	13
オ	オ	KATAKANA	S	14
リ	リ	KATAKANA	S	15
ジ	ジ	KATAKANA	S	16
ナ	ナ	KATAKANA	S	17
ル	ル	KATAKANA	S	18
の	ノ+S	HIRAGANA	S	19
テ	テ	KATAKANA	S	20
キ	キ	KATAKANA	S	21
ス	ス	KATAKANA	S	22
ト	ト	KATAKANA	S	23
だ	ダ	HIRAGANA	S	24
け	ケ	HIRAGANA	S	25
を	ヲ+S	HIRAGANA	S	26
含	フク	KANJI	S	27
め	メ	HIRAGANA	S	28
て	テ+S	HIRAGANA	S	29
く	ク	HIRAGANA	S	30
だ	ダ	HIRAGANA	S	31
さ	サ	HIRAGANA	S	32
い	イ	HIRAGANA	S	33
。	。+S	SYMBOL	S	34
ニ	ニュ	KATAKANA	B	35
ュ	---	KATAKANA	E	36
ー	ー	KATAKANA	S	37
ス	ス	KATAKANA	S	38
や	ヤ+S	HIRAGANA	S	39
文	ブン	KANJI	S	40
学	ガク+S	KANJI	S	41
作	サク	KANJI	S	42
品	ヒン	KANJI	S	43
、	、+S	SYMBOL	S	44
そ	ソ	HIRAGANA	S	45
の	ノ+S	HIRAGANA	S	46
他	タ	KANJI	S	47
著	チョ	KANJI	S	48
作	サク	KANJI	S	49
権	ケン	KANJI	S	50
が	ガ+S	HIRAGANA	S	51
存	ソン	KANJI	S	52
在	ザイ+S	KANJI	S	53
す	ス	HIRAGANA	S	54
る	ル+S	HIRAGANA	S	55
テ	テ	KATAKANA	S	56
キ	キ	KATAKANA	S	57
ス	ス	KATAKANA	S	58
ト	ト	KATAKANA	S	59
を	ヲ+S	HIRAGANA	S	60
含	フク	KANJI	S	61
め	メ	HIRAGANA	S	62
な	ナ	HIRAGANA	S	63
い	イ	HIRAGANA	S	64
で	デ+S	HIRAGANA	S	65
く	ク	HIRAGANA	S	66
だ	ダ	HIRAGANA	S	67
さ	サ	HIRAGANA	S	68
い	イ	HIRAGANA	S	69
。	。+S	SYMBOL	S	70

こ	コ	HIRAGANA	S	0
れ	レ	HIRAGANA	S	1
は	ワ	HIRAGANA	S	2
、	、+S	SYMBOL	S	3
こ	コ	HIRAGANA	S	4
の	ノ+S	HIRAGANA	S	5
点	テン	KANJI	S	6
訳	ヤク+S	KANJI	S	7
エ	エ	KATAKANA	S	8
ン	ン	KATAKANA	S	9
ジ	ジ	KATAKANA	S	10
ン	ン	KATAKANA	S	11
を	ヲ+S	HIRAGANA	S	12
完	カン	KANJI	S	13
全	ゼン	KANJI	S	14
に	ニ+S	HIRAGANA	S	15
フ	フ	KATAKANA	S	16
リ	リ	KATAKANA	S	17
ー	ー	KATAKANA	S	18
に	ニ+S	HIRAGANA	S	19
す	ス	HIRAGANA	S	20
