# UEB Appendix 2「Word List」— Section 10（縮約）の用例語と、その点字・適用規則。
# 出典: The Rules of Unified English Braille, Third Edition 2024 (ICEB)
#   https://iceb.org/wp-content/uploads/2025/10/Rules-of-Unified-English-Braille-2024.pdf
#   ICEB により Creative Commons ライセンスで公開されている。
# 用途: 英語点訳エンジンの回帰コーパス（tests/ueb_appendix2.rs）。
# 列: 原文 <TAB> 期待する点字 <TAB> 規則番号
ab initio	⠰⠁⠃ ⠔⠊⠞⠊⠕	10.9.7
abbreviate	⠁⠆⠗⠑⠧⠊⠁⠞⠑	10.11.5
about-face	⠁⠃⠤⠋⠁⠉⠑	10.9.1
ABOUTface!	⠠⠠⠁⠃⠳⠞⠠⠄⠋⠁⠉⠑⠖	10.9.4
abouts	⠁⠃⠳⠞⠎	10.9.5
aboveground	⠁⠃⠧⠛⠗⠨⠙	10.9.2
accent	⠁⠒⠢⠞	10.11.5
accept	⠁⠒⠑⠏⠞	10.6.5
account	⠁⠒⠨⠞	10.6.5
acetone	⠁⠉⠑⠞⠐⠕	10.7.6
acknowledge	⠁⠉⠐⠅⠇⠫⠛⠑	10.7.1
acreage	⠁⠉⠗⠂⠛⠑	10.6.5, 10.11.7
acrosses	⠁⠉⠗⠕⠎⠎⠑⠎	10.9.2
adhere	⠁⠙⠐⠓	10.7.5
adhered	⠁⠙⠓⠻⠫	10.7.5, 10.10.7
adherent	⠁⠙⠓⠻⠢⠞	10.10.7
adherer	⠁⠙⠓⠻⠻	10.10.7
advanced	⠁⠙⠧⠨⠑⠙	10.10.2, 10.10.7
aerial	⠁⠻⠊⠁⠇	10.4.1, 10.11.9
aerobic	⠁⠻⠕⠃⠊⠉	10.11.9
aerofoil	⠁⠻⠕⠋⠕⠊⠇	10.11.5
affect	⠁⠖⠑⠉⠞	10.11.5
affirm	⠁⠖⠊⠗⠍	10.6.5
afford	⠁⠋⠿⠙	10.3.1, 10.6.5, 10.10.3
affrighted	⠁⠖⠐⠗⠫	10.7.1
aftercare	⠁⠋⠉⠜⠑	10.9.2
afterdinner	⠁⠋⠙⠔⠝⠻	10.9.5
aftereffect	⠁⠋⠞⠻⠑⠖⠑⠉⠞	10.9.2
AfterHours	⠠⠁⠋⠞⠻⠠⠓⠳⠗⠎	10.9.4
afterimage	⠁⠋⠞⠻⠊⠍⠁⠛⠑	10.9.2
againe	⠁⠛⠁⠔⠑	10.9.2
aggressive	⠁⠶⠗⠑⠎⠎⠊⠧⠑	10.6.5, 10.11.5
aghast	⠁⠣⠁⠌	10.4.1
agreeable	⠁⠛⠗⠑⠂⠃⠇⠑	10.6.5, 10.11.7
air-conditioned	⠁⠊⠗⠤⠒⠙⠊⠰⠝⠫	10.6.1
Airedale	⠠⠁⠊⠗⠑⠙⠁⠇⠑	10.11.1
Aix-en-Provence	⠠⠁⠊⠭⠤⠑⠝⠤⠠⠏⠗⠕⠧⠰⠑	10.6.9
Al	⠠⠁⠇	10.9.7
Al's	⠰⠠⠁⠇⠄⠎	10.9.7
